non_profit,type,confirmed,
0t4da.org,Silent Auction,Confirmed auction ,
100 Blackmenatlanta.Org,Auction General,Confirmed auction ,
10000degrees.org,Hybrid,Confirmed auction ,
100blackmenatlanta.org,Auction Unknown,Confirmed auction ,
100Blackmen-Atlanta.Org,Auction General,Confirmed auction ,
100blackmenba.org,live,Confirmed auction ,
100blackmenbr.org,Silent Auction,Confirmed auction ,
100blackmenomaha.org,Silent Auction,Confirmed auction ,
100blackmensav.org,Silent Auction,Confirmed auction ,
100blackmensyr.org,Silent Auction,Confirmed auction ,
100bmoc.com,Silent Auction,Confirmed auction ,
100clubhot.com,Silent Auction,Confirmed auction ,
1011now.com,auction_mentioned_no_context,Confirmed auction ,
1029bigcountry.com,silent,Confirmed auction ,
1035wawl.com,Silent Auction,Confirmed auction ,
103ovi.com,Silent Auction,Confirmed auction ,
1059thehog.com,silent,Confirmed auction ,
1071.blackbaudhosting.com,silent,Confirmed auction ,
10-7Outdoors.Com,Hybrid,Confirmed auction ,
10thmtskiclub.org,Silent Auction,Confirmed auction ,
112291.blackbaudhosting.com,silent,Confirmed auction ,
11437burroakln,Silent Auction,Confirmed auction ,
11thcavnam.com,Silent Auction,Confirmed auction ,
12thmanfoundation.com,Silent Auction,Confirmed auction ,
13thirty.org,Silent Auction,Confirmed auction ,
1406.thankyou4caring.org,hybrid,Confirmed auction ,
15thstfarm.com,silent,Confirmed auction ,
1708gallery.org,auction_mentioned_no_context,Confirmed auction ,
171cedararts.org,Hybrid,Confirmed auction ,
1800lastbid.com,silent,Confirmed auction ,
180nj.org,Silent Auction,Confirmed auction ,
1868foundation.org,Silent Auction,Confirmed auction ,
18degreesma.org,Silent Auction,Confirmed auction ,
18reasons.org,auction_mentioned_no_context,Confirmed auction ,
1bcs.org,Silent Auction,Confirmed auction ,
1NE3.ORG,auction_mentioned_no_context,Confirmed auction ,
1nvrc.com,silent,Confirmed auction ,
1ofus.org,Silent Auction,Confirmed auction ,
1qct.org,Silent Auction,Confirmed auction ,
1si.org,Silent Auction,Confirmed auction ,
